Student ID,ENROLLMENT MONTH,ENROLLMENT YEAR,PRE-U,COURSES,TYPE OF SPONSOR ,YTN PBU,NATIONALITY,CGPA,EXCEED,DROPOUT,UNEMPLOYMENT RATE,GDP (B),GDP GROWTH RATE (%),INFLATION RATE,IPTS ENROLLMENT,UNITEN INTAKE
0001521,January,2013,Foundation,Computing,Loan,Yes,International,2.48,No,0,3.16,323.28,4.69 ,2.11,38127,481
0002533,January,2005,Diploma,Engineering,Sponsored,,Local,3.66,No,0,3.53,143.53,5.33 ,2.98,34676,346
0003278,January,2010,Diploma,Engineering,Loan,Yes,Local,2.97,No,0,3.39,255.02,7.42 ,1.62,49593,491
0004705,January,2000,Diploma,Business,Private,,Local,3.04,No,0,3.00,93.79,8.86 ,1.53,25951,255
0005331,January,2000,Diploma,Business,Loan,No,Local,2.64,No,0,3.00,93.79,8.86 ,1.53,25951,255
0006436,January,2011,Foundation,Engineering,Sponsored,,Local,2.18,No,0,3.05,297.95,5.29 ,3.17,54244,544
0007281,January,2021,Diploma,Business,Sponsored,,Local,3.13,No,0,4.05,372.98,5.60 ,2.48,66184,661
0008718,September,2002,Diploma,Engineering,Loan,No,Local,2.28,No,0,3.48,100.85,5.39 ,1.81,28626,282
0009583,September,2004,Diploma,Computing,Loan,No,Local,2.10,No,0,3.54,124.75,6.78 ,1.42,40742,407
0010666,September,2018,Foundation,Computing,Sponsored,,Local,2.05,No,0,3.30,358.79,4.84 ,0.88,73840,738
0011646,September,2018,Foundation,Computing,Loan,Yes,International,3.44,No,0,3.30,358.79,4.84 ,0.88,73840,738
0012493,January,2005,Diploma,Engineering,Sponsored,,Local,2.16,No,0,3.53,143.53,5.33 ,2.98,34676,346
0013415,January,2014,Diploma,Computing,Sponsored,,Local,1.66,Yes,1,2.88,338.07,6.01 ,3.14,50584,515
0014254,January,2020,Diploma,Engineering,Sponsored,,Local,3.17,No,0,4.54,337.34,3.09 ,-1.14,70048,704
0015607,January,2006,Foundation,Computing,Loan,No,Local,2.84,No,0,3.32,162.69,5.58 ,3.61,43490,439
0016162,January,2002,Foundation,Engineering,Sponsored,,Local,2.38,No,0,3.48,100.85,5.39 ,1.81,28626,282
0017913,January,2022,Diploma,Business,Loan,No,Local,3.03,No,0,3.73,406.31,8.69 ,3.38,63905,695
0018232,January,2009,Foundation,Engineering,Private,,Local,3.99,No,0,3.66,202.26,-1.51 ,0.58,52034,520
0019317,January,2010,Foundation,Engineering,Sponsored,,Local,2.20,No,0,3.39,255.02,7.42 ,1.62,49593,491
0020624,September,1998,Diploma,Computing,Sponsored,,Local,2.63,No,0,3.20,72.17,-7.36 ,5.27,18362,186
0021296,September,2004,Foundation,Business,Private,,Local,2.84,No,0,3.54,124.75,6.78 ,1.42,40742,407
0022521,September,2002,Diploma,Business,Loan,No,Local,3.49,No,0,3.48,100.85,5.39 ,1.81,28626,282
0023285,September,2013,Diploma,Business,Loan,Yes,Local,3.24,No,0,3.16,323.28,4.69 ,2.11,38127,481
0024964,January,2021,Diploma,Computing,Private,,Local,2.35,No,0,4.05,372.98,5.60 ,2.48,66184,661
0025797,January,2016,Diploma,Business,Loan,No,Local,1.20,Yes,1,3.44,301.26,4.45 ,2.09,80009,809
0026875,January,2009,Diploma,Engineering,Private,,International,3.02,No,0,3.66,202.26,-1.51 ,0.58,52034,520
0027971,January,2000,Foundation,Computing,Private,,Local,3.99,No,0,3.00,93.79,8.86 ,1.53,25951,255
0028823,January,2009,Foundation,Engineering,Private,,Local,2.20,No,0,3.66,202.26,-1.51 ,0.58,52034,520
0029150,January,2016,Foundation,Computing,Loan,Yes,Local,2.95,No,0,3.44,301.26,4.45 ,2.09,80009,809
0030659,January,2021,Diploma,Computing,Private,,International,3.88,No,0,4.05,372.98,5.60 ,2.48,66184,661
0031737,January,2021,Diploma,Computing,Loan,Yes,Local,3.13,No,0,4.05,372.98,5.60 ,2.48,66184,661
0032292,September,2001,Diploma,Engineering,Private,,Local,2.20,No,0,3.53,97.78,0.52 ,1.42,26858,281
0033287,September,2005,Foundation,Computing,Loan,Yes,Local,3.07,No,0,3.53,143.53,5.33 ,2.98,34676,346
0034184,September,2002,Foundation,Engineering,Loan,No,Local,2.00,Yes,0,3.48,100.85,5.39 ,1.81,28626,282
0035407,September,2002,Foundation,Business,Loan,Yes,Local,1.95,Yes,0,3.48,100.85,5.39 ,1.81,28626,282
0036324,January,2002,Foundation,Computing,Private,,Local,2.14,No,0,3.48,100.85,5.39 ,1.81,28626,282
0037728,January,2005,Foundation,Business,Sponsored,,Local,2.74,No,0,3.53,143.53,5.33 ,2.98,34676,346
0038111,January,2012,Foundation,Engineering,Sponsored,,Local,2.45,No,0,3.10,314.44,5.47 ,1.66,45525,455
0039265,January,2011,Foundation,Business,Private,,Local,1.28,Yes,1,3.05,297.95,5.29 ,3.17,54244,544
0040621,January,2021,Foundation,Computing,Sponsored,,Local,2.42,No,0,4.05,372.98,5.60 ,2.48,66184,661
0041395,January,2010,Diploma,Business,Private,,Local,3.25,No,0,3.39,255.02,7.42 ,1.62,49593,491
0042207,January,2004,Diploma,Business,Loan,Yes,Local,2.24,No,0,3.54,124.75,6.78 ,1.42,40742,407
0043399,January,2007,Foundation,Engineering,Loan,No,Local,3.70,No,0,3.23,193.55,6.30 ,2.03,43625,456
0044849,September,2009,Diploma,Engineering,Private,,Local,2.57,No,0,3.66,202.26,-1.51 ,0.58,52034,520
0045597,September,2002,Foundation,Computing,Loan,No,Local,1.99,Yes,0,3.48,100.85,5.39 ,1.81,28626,282
0046654,September,2003,Foundation,Business,Sponsored,,Local,3.42,No,0,3.61,110.2,5.79 ,1.09,36279,367
0047385,September,2002,Diploma,Business,Private,,Local,3.04,No,0,3.48,100.85,5.39 ,1.81,28626,282
0048732,January,2006,Diploma,Business,Sponsored,,Local,2.58,No,0,3.32,162.69,5.58 ,3.61,43490,439
0049304,January,2013,Diploma,Engineering,Loan,Yes,Local,1.96,Yes,0,3.16,323.28,4.69 ,2.11,38127,481
0050526,January,2014,Foundation,Computing,Private,,Local,1.06,Yes,1,2.88,338.07,6.01 ,3.14,50584,515
0051929,January,2012,Foundation,Engineering,Sponsored,,International,1.32,Yes,1,3.10,314.44,5.47 ,1.66,45525,455
0052413,January,2021,Diploma,Business,Loan,No,Local,2.92,No,0,4.05,372.98,5.60 ,2.48,66184,661
0053610,January,2012,Diploma,Engineering,Private,,Local,1.54,Yes,1,3.10,314.44,5.47 ,1.66,45525,455
0054848,January,2001,Foundation,Computing,Private,,Local,3.85,No,0,3.53,97.78,0.52 ,1.42,26858,281
0055159,January,2001,Foundation,Business,Private,,International,2.28,No,0,3.53,97.78,0.52 ,1.42,26858,281
0056100,September,2009,Foundation,Business,Loan,No,Local,2.88,No,0,3.66,202.26,-1.51 ,0.58,52034,520
0057235,September,2010,Foundation,Business,Sponsored,,Local,1.57,Yes,1,3.39,255.02,7.42 ,1.62,49593,491
0058606,September,2017,Diploma,Computing,Sponsored,,Local,3.77,No,0,3.41,319.11,5.81 ,3.87,91033,910
0059599,September,2009,Foundation,Computing,Sponsored,,Local,3.61,No,0,3.66,202.26,-1.51 ,0.58,52034,520
0060506,January,1997,Foundation,Business,Sponsored,,Local,2.85,No,0,2.45,100.01,7.32 ,2.66,15036,156
0061506,January,2006,Diploma,Engineering,Loan,No,Local,3.18,No,0,3.32,162.69,5.58 ,3.61,43490,439
0062691,January,2006,Foundation,Computing,Private,,International,2.01,No,0,3.32,162.69,5.58 ,3.61,43490,439
0063510,January,2006,Diploma,Business,Loan,Yes,Local,3.68,No,0,3.32,162.69,5.58 ,3.61,43490,439
0064769,January,2018,Diploma,Business,Sponsored,,Local,2.64,No,0,3.30,358.79,4.84 ,0.88,73840,738
0065560,January,2021,Diploma,Computing,Sponsored,,Local,3.65,No,0,4.05,372.98,5.60 ,2.48,66184,661
0066251,January,2015,Foundation,Engineering,Sponsored,,International,2.98,No,0,3.10,301.35,5.09 ,2.1,90558,905
0067114,January,2019,Diploma,Engineering,Loan,Yes,Local,2.05,No,0,3.26,365.18,4.41 ,0.66,75854,758
0068440,September,2010,Foundation,Engineering,Sponsored,,Local,1.57,Yes,1,3.39,255.02,7.42 ,1.62,49593,491
0069210,September,1998,Foundation,Computing,Sponsored,,Local,2.00,Yes,0,3.20,72.17,-7.36 ,5.27,18362,186
0070382,September,2022,Foundation,Business,Private,,Local,3.04,No,0,3.73,406.31,8.69 ,3.38,63905,695
0071600,September,2004,Diploma,Engineering,Loan,Yes,Local,3.89,No,0,3.54,124.75,6.78 ,1.42,40742,407
0072138,January,2022,Foundation,Engineering,Loan,Yes,Local,3.01,No,0,3.73,406.31,8.69 ,3.38,63905,695
0073606,January,2007,Diploma,Business,Loan,No,Local,3.06,No,0,3.23,193.55,6.30 ,2.03,43625,456
0074315,January,2013,Foundation,Computing,Private,,International,2.72,No,0,3.16,323.28,4.69 ,2.11,38127,481
0075990,January,2006,Foundation,Business,Sponsored,,Local,2.72,No,0,3.32,162.69,5.58 ,3.61,43490,439
0076469,January,2005,Foundation,Computing,Loan,Yes,Local,3.42,No,0,3.53,143.53,5.33 ,2.98,34676,346
0077156,January,2021,Diploma,Computing,Loan,No,Local,1.02,Yes,1,4.05,372.98,5.60 ,2.48,66184,661
0078464,January,2011,Diploma,Computing,Sponsored,,Local,2.82,No,0,3.05,297.95,5.29 ,3.17,54244,544
0079550,January,2007,Foundation,Engineering,Sponsored,,Local,3.84,No,0,3.23,193.55,6.30 ,2.03,43625,456
0080287,September,2011,Diploma,Business,Sponsored,,Local,3.42,No,0,3.05,297.95,5.29 ,3.17,54244,544
0081101,September,2010,Diploma,Business,Sponsored,,Local,3.79,No,0,3.39,255.02,7.42 ,1.62,49593,491
0082478,September,2022,Diploma,Computing,Loan,Yes,Local,3.90,No,0,3.73,406.31,8.69 ,3.38,63905,695
0083613,September,2017,Diploma,Business,Private,,Local,3.16,No,0,3.41,319.11,5.81 ,3.87,91033,910
0084446,January,2005,Foundation,Computing,Private,,Local,3.79,No,0,3.53,143.53,5.33 ,2.98,34676,346
0085516,January,2018,Diploma,Business,Sponsored,,Local,3.48,No,0,3.30,358.79,4.84 ,0.88,73840,738
0086787,January,2006,Foundation,Computing,Loan,Yes,International,1.95,Yes,0,3.32,162.69,5.58 ,3.61,43490,439
0087298,January,1998,Diploma,Computing,Loan,No,Local,2.38,No,0,3.20,72.17,-7.36 ,5.27,18362,186
0088353,January,2014,Diploma,Computing,Sponsored,,Local,1.67,Yes,1,2.88,338.07,6.01 ,3.14,50584,515
0089947,January,2008,Foundation,Engineering,Private,,Local,2.72,No,0,3.32,230.81,4.83 ,5.44,43261,436
0090588,January,2013,Diploma,Engineering,Sponsored,,Local,3.93,No,0,3.16,323.28,4.69 ,2.11,38127,481
0091997,January,2003,Foundation,Computing,Loan,Yes,Local,2.84,No,0,3.61,110.2,5.79 ,1.09,36279,367
0092318,September,1999,Foundation,Computing,Sponsored,,Local,2.83,No,0,3.43,79.15,6.14 ,2.74,20655,205
0093471,September,2014,Foundation,Business,Sponsored,,Local,3.06,No,0,2.88,338.07,6.01 ,3.14,50584,515
0094633,September,2001,Diploma,Engineering,Loan,No,Local,3.90,No,0,3.53,97.78,0.52 ,1.42,26858,281
0095379,September,2008,Foundation,Computing,Loan,Yes,International,3.91,No,0,3.32,230.81,4.83 ,5.44,43261,436
0096411,January,2005,Diploma,Engineering,Loan,Yes,Local,3.82,No,0,3.53,143.53,5.33 ,2.98,34676,346
0097121,January,2018,Diploma,Engineering,Sponsored,,Local,2.46,No,0,3.30,358.79,4.84 ,0.88,73840,738
0098324,January,2018,Diploma,Engineering,Sponsored,,Local,1.09,Yes,1,3.30,358.79,4.84 ,0.88,73840,738
0099710,January,2006,Foundation,Computing,Sponsored,,Local,3.43,No,0,3.32,162.69,5.58 ,3.61,43490,439
0100431,January,2010,Diploma,Business,Private,,Local,2.58,No,0,3.39,255.02,7.42 ,1.62,49593,491
0101868,January,2003,Foundation,Business,Sponsored,,Local,3.63,No,0,3.61,110.2,5.79 ,1.09,36279,367
0102915,January,2006,Foundation,Engineering,Sponsored,,Local,3.72,No,0,3.32,162.69,5.58 ,3.61,43490,439
0103793,January,2014,Foundation,Engineering,Loan,Yes,Local,3.95,No,0,2.88,338.07,6.01 ,3.14,50584,515
0104184,September,2003,Foundation,Engineering,Private,,International,3.19,No,0,3.61,110.2,5.79 ,1.09,36279,367
0105572,September,2021,Foundation,Computing,Loan,No,Local,3.45,No,0,4.05,372.98,5.60 ,2.48,66184,661
0106577,September,2022,Foundation,Business,Sponsored,,Local,1.95,Yes,0,3.73,406.31,8.69 ,3.38,63905,695
0107868,September,2014,Foundation,Engineering,Private,,Local,1.74,Yes,1,2.88,338.07,6.01 ,3.14,50584,515
0108426,January,1999,Diploma,Computing,Sponsored,,Local,3.21,No,0,3.43,79.15,6.14 ,2.74,20655,205
0109695,January,1999,Foundation,Business,Private,,Local,3.43,No,0,3.43,79.15,6.14 ,2.74,20655,205
0110261,January,2014,Diploma,Computing,Loan,No,Local,3.62,No,0,2.88,338.07,6.01 ,3.14,50584,515
0111977,January,2022,Foundation,Computing,Sponsored,,Local,3.64,No,0,3.73,406.31,8.69 ,3.38,63905,695
0112412,January,2014,Foundation,Business,Private,,Local,2.03,No,0,2.88,338.07,6.01 ,3.14,50584,515
0113648,January,2020,Diploma,Business,Private,,Local,2.25,No,0,4.54,337.34,3.09 ,-1.14,70048,704
0114122,January,1999,Foundation,Computing,Sponsored,,Local,3.43,No,0,3.43,79.15,6.14 ,2.74,20655,205
0115435,January,2007,Foundation,Business,Private,,Local,3.48,No,0,3.23,193.55,6.30 ,2.03,43625,456
0116108,September,2018,Foundation,Computing,Sponsored,,Local,2.95,No,0,3.30,358.79,4.84 ,0.88,73840,738
0117677,September,2004,Diploma,Engineering,Loan,Yes,Local,3.76,No,0,3.54,124.75,6.78 ,1.42,40742,407
0118402,September,2003,Foundation,Computing,Private,,International,3.86,No,0,3.61,110.2,5.79 ,1.09,36279,367
0119799,September,2014,Foundation,Business,Private,,Local,3.97,No,0,2.88,338.07,6.01 ,3.14,50584,515
0120440,January,1999,Foundation,Business,Private,,Local,3.18,No,0,3.43,79.15,6.14 ,2.74,20655,205
0121878,January,2012,Diploma,Engineering,Sponsored,,Local,3.08,No,0,3.10,314.44,5.47 ,1.66,45525,455
0122242,January,2020,Diploma,Computing,Loan,Yes,Local,1.23,Yes,1,4.54,337.34,3.09 ,-1.14,70048,704
0123621,January,2019,Diploma,Business,Loan,Yes,Local,3.02,No,0,3.26,365.18,4.41 ,0.66,75854,758
0124866,January,2002,Diploma,Computing,Sponsored,,Local,3.31,No,0,3.48,100.85,5.39 ,1.81,28626,282
0125396,January,2009,Diploma,Computing,Private,,Local,1.57,Yes,1,3.66,202.26,-1.51 ,0.58,52034,520
0126398,January,1998,Diploma,Business,Loan,Yes,Local,2.84,No,0,3.20,72.17,-7.36 ,5.27,18362,186
0127662,January,2015,Foundation,Engineering,Sponsored,,Local,3.90,No,0,3.10,301.35,5.09 ,2.1,90558,905
0128716,September,2020,Diploma,Business,Loan,Yes,Local,3.16,No,0,4.54,337.34,3.09 ,-1.14,70048,704
